CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
87,2,2,4,2,2,1,107.9,186.7,68.4,56.7,3252,3,4,152,3,3.7,3.52,21,95,4150,28,33,16900
87,1,2,4,2,2,1,108,186.7,68.3,56,3130,3,4,134,5,3.61,3.21,7,142,5600,18,24,18150
88,1,2,2,1,1,1,93.7,157.3,63.8,50.8,2128,1,4,98,4,3.03,3.39,7.6,102,5500,24,30,7957
89,1,2,2,1,2,1,95.9,173.2,66.3,50.2,2818,1,4,156,4,3.59,3.86,7,145,5000,19,24,12764
90,1,1,4,2,1,1,93.7,167.3,63.8,50.8,2191,1,4,98,2,2.97,3.23,9.4,68,5500,31,38,7609
91,1,1,2,1,1,1,93.7,157.3,63.8,50.8,1918,1,4,90,2,2.97,3.23,9.4,68,5500,37,41,5572
91,1,1,4,1,1,1,93.7,157.3,63.8,50.6,1967,1,4,90,2,2.97,3.23,9.4,68,5500,31,38,6229
92,1,1,4,2,1,1,93.7,167.3,63.8,50.8,1989,1,4,90,2,2.97,3.23,9.4,68,5500,31,38,6692
93,1,1,4,3,1,1,103.3,174.6,64.6,59.8,2535,1,4,122,2,3.35,3.46,8.5,88,5000,24,30,8921
94,1,1,2,4,2,2,89.5,168.9,65,51.6,2756,2,6,194,5,3.74,2.9,9.5,207,5900,17,25,32528
95,1,1,2,4,2,2,89.5,168.9,65,51.6,2800,2,6,194,5,3.74,2.9,9.5,207,5900,17,25,37028
96,1,1,2,1,2,1,98.4,175.7,72.3,50.5,3366,5,8,203,5,3.94,3.11,10,288,5750,17,28,31400.5
96,1,1,2,4,2,2,89.5,168.9,65,51.6,2756,2,6,194,5,3.74,2.9,9.5,207,5900,17,25,34028
97,1,1,2,1,2,1,94.5,168.9,68.3,50.2,2778,1,4,151,5,3.94,3.11,9.5,143,5500,19,27,22018
98,1,1,4,3,1,1,96.1,181.5,66.5,55.2,2579,1,4,132,5,3.46,3.9,8.7,90,5100,23,31,9295
99,1,1,2,1,1,1,96.1,176.8,66.6,50.5,2460,1,4,132,5,3.46,3.9,8.7,90,5100,23,31,9895
100,1,1,2,1,1,1,99.1,186.6,66.5,56.1,2658,1,4,121,5,3.54,3.07,9.31,110,5250,21,28,11850
100,1,2,4,2,1,1,99.1,186.6,66.5,56.1,2847,4,4,121,5,3.54,3.07,9,160,5500,19,26,18620
101,1,1,4,2,1,1,99.1,186.6,66.5,56.1,2758,1,4,121,5,3.54,3.07,9.3,110,5250,21,28,15510
101,1,2,2,1,1,1,99.1,186.6,66.5,56.1,2808,4,4,121,5,3.54,3.07,9,160,5500,19,26,18150
102,1,1,4,2,1,1,99.1,186.6,66.5,56.1,2695,1,4,121,5,3.54,3.07,9.3,110,5250,21,28,12170
102,1,1,2,1,1,1,99.1,186.6,66.5,56.1,2707,1,4,121,5,2.54,2.07,9.3,110,5250,21,28,15040
103,1,1,2,1,1,1,93.7,156.9,63.4,53.7,2050,2,4,97,2,3.62,2.36,9,69,4900,31,36,5118
103,1,1,4,2,1,1,97.2,172,65.4,52.5,2145,2,4,108,2,3.62,2.64,9.5,82,4800,32,37,7126
104,1,1,4,2,1,1,97.2,172,65.4,52.5,2340,2,4,108,5,3.62,2.64,9,94,5200,26,32,9960
105,1,1,4,2,1,1,97.2,172,65.4,52.5,2190,2,4,108,2,3.62,2.64,9.5,82,4400,28,33,7775
106,1,1,2,1,1,1,93.7,157.9,63.6,53.7,2120,2,4,108,2,3.62,2.64,8.7,73,4400,26,31,7053
106,1,1,2,1,3,1,93.3,157.3,63.8,55.7,2240,2,4,108,2,3.62,2.64,8.7,73,4400,26,31,7603
106,1,1,4,3,3,1,96.9,173.6,65.4,54.9,2420,2,4,108,2,3.62,2.64,9,82,4800,23,29,8013
106,1,2,4,3,3,1,96.9,173.6,65.4,54.9,2650,2,4,108,5,3.62,2.64,7.7,111,4800,23,23,11694
107,1,1,4,2,3,1,97,172,65.4,54.3,2385,2,4,108,2,3.62,2.64,9,82,4800,24,25,9233
108,1,2,4,2,3,1,97,172,65.4,54.3,2510,2,4,108,5,3.62,2.64,7.7,111,4800,24,29,11259
109,1,1,4,3,1,1,97,173.5,65.4,53,2290,2,4,108,2,3.62,2.64,9,82,4800,28,32,7463
110,1,1,4,3,1,1,97,173.5,65.4,53,2455,2,4,108,5,3.62,2.64,9,94,5200,25,31,10198
111,1,1,4,3,3,1,95.7,169.7,63.6,59.1,3110,1,4,92,2,3.05,3.03,9,62,4800,27,32,8778
112,2,2,4,2,1,1,102.4,175.6,66.5,54.9,2480,1,4,110,3,3.27,3.35,22.5,73,4500,30,33,10698
113,1,1,2,2,2,1,94.5,168.7,64,52.6,2265,4,4,98,5,3.24,3.08,9.4,112,6600,26,29,9298
114,2,1,4,1,1,1,95.7,166.3,64.4,52.8,2275,1,4,110,3,3.27,3.35,22.5,56,4500,38,47,7788
114,1,1,4,1,1,1,95.7,166.3,64.4,52.8,2122,1,4,98,2,3.19,3.03,9,70,4800,28,34,8358
114,1,1,4,2,1,1,102.4,175.6,66.5,54.9,2326,1,4,122,5,3.31,3.54,8.7,92,4200,29,34,8948
114,1,1,2,4,2,1,98.4,176.2,65.6,52,2536,1,4,146,5,3.62,3.5,9.3,116,4800,24,30,9639
114,1,1,4,2,1,1,102.4,175.6,66.5,54.9,2414,1,4,122,5,3.31,3.54,8.7,92,4200,27,32,10898
114,1,1,2,1,2,1,98.4,176.2,65.6,52,2714,1,4,146,5,3.62,3.5,9.3,116,4800,24,30,11549
115,1,1,4,1,1,1,95.7,158.7,63.6,54.5,2015,1,4,92,2,3.05,3.03,9,62,4800,31,38,6488
115,1,1,4,1,1,1,95.7,166.3,64.4,52.8,2109,1,4,98,2,3.19,3.03,9,70,4800,30,37,7198
116,1,1,4,3,3,1,95.7,169.7,63.6,59.1,2290,1,4,92,2,3.05,3.03,9,62,4800,27,32,7898
117,1,1,2,2,2,1,94.5,168.7,64,52.6,2169,1,4,98,2,3.19,3.03,9,70,4800,29,34,8058
117,1,1,2,1,2,1,102.9,183.5,67.7,52,2976,4,6,171,5,3.27,3.35,9.3,161,5200,20,24,16558
118,1,1,2,1,2,1,94.5,168.7,64,52.6,2300,4,4,98,5,3.24,3.08,9.4,112,6600,26,29,9538
119,1,1,2,1,1,1,95.7,158.7,63.6,54.5,2040,1,4,92,2,3.05,3.03,9,62,4800,31,38,6338
119,1,1,4,2,1,1,95.7,166.3,64.4,53,2094,1,4,98,2,3.19,3.03,9,70,4800,38,47,7738
119,2,1,4,2,1,1,95.7,166.3,64.4,53,2275,1,4,110,3,3.27,3.35,22.5,56,4500,34,36,7898
119,1,1,2,1,2,1,94.5,168.7,64,52.6,2204,1,4,98,2,3.19,3.03,9,70,4800,29,34,8238
119,1,1,4,1,1,1,102.4,175.6,66.5,53.9,2414,1,4,122,5,3.31,3.54,8.7,92,4200,27,32,9988
119,1,1,2,1,2,1,102.9,183.5,67.7,52,3016,4,6,171,5,3.27,3.35,9.3,161,5200,19,24,15998
120,1,1,4,3,1,1,95.7,169.7,63.6,59.1,2280,1,4,92,2,3.05,3.03,9,62,4800,31,37,6918
121,1,1,2,4,2,1,98.4,176.2,65.6,52,2540,1,4,146,5,3.62,3.5,9.3,116,4800,24,30,8449
122,1,1,2,1,1,1,95.7,158.7,63.6,54.5,1985,1,4,92,2,3.05,3.03,9,62,4800,35,39,5348
123,1,1,2,4,2,1,98.4,176.2,65.6,53,2975,1,4,146,5,3.62,3.5,9.3,116,4800,24,30,17669
124,1,1,4,2,1,1,95.7,166.3,64.4,53,2081,1,4,98,2,3.19,3.03,9,70,4800,30,37,6938
124,1,1,4,2,1,1,95.7,166.3,64.4,52.8,2140,1,4,98,2,3.19,3.03,9,70,4800,28,34,9258
124,1,1,4,1,1,1,102.4,175.6,66.5,53.9,2458,1,4,122,5,3.31,3.54,8.7,92,4200,27,32,11248
125,1,1,2,1,2,1,98.4,176.2,65.6,52,2551,1,4,146,5,3.62,3.5,9.3,116,4800,24,30,9989
125,1,1,4,2,2,1,104.5,187.8,66.5,54.1,3131,4,6,171,5,3.27,3.35,9.2,156,5200,20,24,15690
126,1,1,2,4,2,1,98.4,176.2,65.6,52,2679,1,4,146,5,3.62,3.5,9.3,116,4800,24,30,11199
126,1,1,4,3,2,1,104.5,187.8,66.5,54.1,3151,4,6,161,5,3.27,3.35,9.2,156,5200,19,24,15750
127,2,1,2,2,1,1,97.3,171.7,65.5,55.7,2261,1,4,97,3,3.01,3.4,23,52,4800,37,46,7775
128,1,1,2,2,1,1,97.3,171.7,65.5,55.7,2209,1,4,109,5,3.19,3.4,9,85,5250,27,34,7975
129,1,1,4,2,1,1,97.3,171.7,65.5,55.7,2275,1,4,109,5,3.19,3.4,9,85,5250,27,34,8495
130,1,1,4,2,1,1,97.3,171.7,65.5,55.7,2300,1,4,109,5,3.19,3.4,10,100,5500,26,32,9995
130,1,1,4,3,1,1,100.4,183.1,66.9,55.1,2563,1,4,109,5,3.19,3.4,9,88,5500,25,31,12290
131,2,1,4,2,1,1,97.3,171.7,65.5,55.7,2264,1,4,97,3,3.01,3.4,23,52,4800,37,46,7995
132,1,1,4,2,1,1,100.4,180.2,66.9,55.1,2661,1,5,136,5,3.19,3.4,8.5,110,5500,19,24,13295
133,2,2,4,2,1,1,100.4,180.2,66.9,55.1,2579,1,4,97,3,3.01,3.4,23,68,4500,33,38,13845
134,2,2,4,2,1,1,97.3,171.7,65.5,55.7,2319,1,4,97,3,3.01,3.4,23,68,4500,37,42,9495
135,1,1,4,2,1,1,97.3,171.7,65.5,55.7,2212,1,4,109,5,3.19,3.4,9,85,5250,27,34,8195
136,1,1,4,3,2,1,104.3,188.8,67.2,57.5,3034,1,4,141,5,3.78,3.15,9.5,114,5400,23,28,13415
136,1,2,4,2,2,1,109.1,188.8,68.8,55.5,3049,1,4,141,5,3.78,3.15,8.7,160,5300,19,25,19045
137,1,1,4,2,2,1,104.3,188.8,67.2,56.2,2912,1,4,141,5,3.78,3.15,9.5,114,5400,23,28,12940
137,1,1,4,2,2,1,109.1,188.8,68.9,55.5,2952,1,4,141,5,3.78,3.15,9.5,114,5400,23,28,16845
138,1,1,4,2,2,1,104.3,188.8,67.2,56.2,2935,1,4,141,5,3.78,3.15,9.5,114,5400,24,28,15985
138,1,1,4,2,2,1,109.1,188.8,68.9,55.5,3012,5,6,173,5,3.58,2.87,8.8,134,5500,18,23,21485
139,1,1,4,3,2,1,104.3,188.8,67.2,57.5,3042,1,4,141,5,3.78,3.15,9.5,114,5400,24,28,16515
140,2,2,4,2,2,1,109.1,188.8,68.9,55.5,3217,1,6,145,3,3.01,3.4,23,106,4800,26,27,22470
141,1,2,4,2,2,1,104.3,188.8,67.2,56.2,3045,1,4,130,5,3.62,3.15,7.5,162,5100,17,22,18420
141,1,2,4,2,2,1,109.1,188.8,68.9,55.5,3062,1,4,141,5,3.78,3.15,9.5,114,5400,19,25,22625
142,1,2,4,3,2,1,104.3,188.8,67.2,57.5,3157,1,4,130,5,3.62,3.15,7.5,162,5100,17,22,18950
130,1,1,2,4,1,1,94.5,159.3,64.2,55.6,2254,1,4,109,5,3.19,3.4,8.5,90,5500,24,29,11595
132,1,1,2,1,1,1,94.5,165.7,64,51.4,2221,1,4,109,5,3.19,3.4,8.5,90,5500,24,29,9980
